Anno Accademico,Hash Docente/i,Insegnamento,Produttivita Studenti - N [istanze],Produttivita Studenti - Ritardo >=1sem [percent],"Produttivita Studenti - Ritardo [semestre, media]",Produttivita Studenti - Voto >= 24 [perc],Produttivita Studenti - Voto [media],Produttivita Studenti - Voto [std dev],Valutazione Insegnamento - Aspetti specifici del Corso di Studi - N [istanze],Valutazione Insegnamento - Aspetti specifici del Corso di Studi - Std Dev [media pesata],Valutazione Insegnamento - Aspetti specifici del Corso di Studi - Val >= 6 [percent],Valutazione Insegnamento - Aspetti specifici del Corso di Studi - Val [media pesata],Valutazione Insegnamento - Aule ed attrezzature - N [istanze],Valutazione Insegnamento - Aule ed attrezzature - Std Dev [media pesata],Valutazione Insegnamento - Aule ed attrezzature - Val >= 6 [percent],Valutazione Insegnamento - Aule ed attrezzature - Val [media pesata],Valutazione Insegnamento - Docente - N [istanze],Valutazione Insegnamento - Docente - Std Dev [media pesata],Valutazione Insegnamento - Docente - Val >= 6 [percent],Valutazione Insegnamento - Docente - Val [media pesata],Valutazione Insegnamento - Informazioni aggiuntive - N [istanze],Valutazione Insegnamento - Informazioni aggiuntive - Std Dev [media pesata],Valutazione Insegnamento - Informazioni aggiuntive - Val >= 6 [percent],Valutazione Insegnamento - Informazioni aggiuntive - Val [media pesata],Valutazione Insegnamento - Organizzazione Corso di Studi - N [istanze],Valutazione Insegnamento - Organizzazione Corso di Studi - Std Dev [media pesata],Valutazione Insegnamento - Organizzazione Corso di Studi - Val >= 6 [percent],Valutazione Insegnamento - Organizzazione Corso di Studi - Val [media pesata],Valutazione Insegnamento - Organizzazione Insegnamento - N [istanze],Valutazione Insegnamento - Organizzazione Insegnamento - Std Dev [media pesata],Valutazione Insegnamento - Organizzazione Insegnamento - Val >= 6 [percent],Valutazione Insegnamento - Organizzazione Insegnamento - Val [media pesata],Valutazione Insegnamento - Soddisfazione - N [istanze],Valutazione Insegnamento - Soddisfazione - Std Dev [media pesata],Valutazione Insegnamento - Soddisfazione - Val >= 6 [percent],Valutazione Insegnamento - Soddisfazione - Val [media pesata]
2015-2016,f6af79bac8bb,INTERPRETI E COMPILATORI,25-50,0-20,0-0.5,80-100,25-28,1.5-3,25-50,1.5-3,80-100,8-10,,,,,25-50,0-1.5,80-100,8-10,,,,,,,,,25-50,0-1.5,80-100,8-10,50-100,1.5-3,80-100,6-8
2015-2016,3bbe80b19b92,INFORMATICA TEORICA,0-25,20-40,0.5-1,20-40,22-25,3-5,0-25,1.5-3,60-80,8-10,,,,,0-25,1.5-3,60-80,6-8,,,,,,,,,0-25,1.5-3,60-80,6-8,25-50,1.5-3,60-80,6-8
2015-2016,7acf3f684e24,RETI DI CALCOLATORI,25-50,40-60,0.5-1,80-100,25-28,1.5-3,25-50,1.5-3,80-100,6-8,,,,,25-50,1.5-3,80-100,8-10,,,,,,,,,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,8-10
2015-2016,fc2f8485971a,CALCOLO NUMERICO,25-50,0-20,0-0.5,40-60,22-25,3-5,25-50,1.5-3,60-80,6-8,,,,,25-50,1.5-3,60-80,6-8,,,,,,,,,25-50,1.5-3,40-60,4-6,50-100,1.5-3,40-60,4-6
2014-2015,f6af79bac8bb,INTERPRETI E COMPILATORI,25-50,20-40,0.5-1,80-100,25-28,1.5-3,0-25,1.5-3,80-100,8-10,,,,,25-50,1.5-3,80-100,6-8,,,,,,,,,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,6-8
2014-2015,3bbe80b19b92,INFORMATICA TEORICA,0-25,80-100,1-1.5,40-60,22-25,3-5,0-25,1.5-3,80-100,6-8,,,,,0-25,1.5-3,60-80,6-8,,,,,,,,,0-25,1.5-3,40-60,4-6,0-25,1.5-3,60-80,4-6
2014-2015,ebf305b5bf29,PROGRAMMAZIONE CONCORRENTE,25-50,40-60,1-1.5,60-80,25-28,3-5,25-50,1.5-3,60-80,6-8,,,,,25-50,1.5-3,60-80,4-6,,,,,,,,,50-100,1.5-3,60-80,6-8,50-100,1.5-3,60-80,6-8
2014-2015,004dadc96b11,METODOLOGIE DI PROGRAMMAZIONE,50-100,40-60,0.5-1,80-100,25-28,1.5-3,25-50,0-1.5,80-100,8-10,,,,,50-100,0-1.5,80-100,8-10,,,,,,,,,50-100,1.5-3,80-100,8-10,50-100,0-1.5,80-100,8-10
2014-2015,09592ea51603,SISTEMI OPERATIVI,25-50,40-60,1-1.5,60-80,25-28,1.5-3,25-50,1.5-3,80-100,8-10,,,,,25-50,1.5-3,80-100,6-8,,,,,,,,,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,6-8
2014-2015,b7322f753612,ALGEBRA LINEARE,50-100,20-40,0.5-1,40-60,22-25,3-5,50-100,0-1.5,80-100,8-10,,,,,50-100,1.5-3,80-100,6-8,,,,,,,,,50-100,1.5-3,80-100,6-8,50-100,1.5-3,80-100,6-8
2014-2015,074aa5f763ed,BASI DI DATI E SISTEMI INFORMATIVI,50-100,20-40,0-0.5,40-60,22-25,3-5,25-50,1.5-3,80-100,6-8,,,,,50-100,1.5-3,80-100,6-8,,,,,,,,,50-100,1.5-3,80-100,8-10,50-100,1.5-3,80-100,6-8
2014-2015,7acf3f684e24,RETI DI CALCOLATORI,25-50,20-40,0.5-1,80-100,25-28,1.5-3,25-50,1.5-3,80-100,8-10,,,,,25-50,1.5-3,80-100,8-10,,,,,,,,,25-50,1.5-3,80-100,8-10,25-50,1.5-3,80-100,8-10
2014-2015,fc2f8485971a,CALCOLO NUMERICO,0-25,0-20,0-0.5,60-80,22-25,1.5-3,25-50,1.5-3,80-100,8-10,,,,,25-50,1.5-3,80-100,6-8,,,,,,,,,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,6-8
2011-2012,074aa5f763ed,BASI DI DATI E SISTEMI INFORMATIVI,0-25,40-60,0.5-1,80-100,25-28,1.5-3,0-25,0-1.5,80-100,8-10,,,,,0-25,1.5-3,80-100,6-8,,,,,,,,,0-25,0-1.5,80-100,8-10,0-25,0-1.5,80-100,6-8
2011-2012,d5ea9d863079,SISTEMI OPERATIVI,0-25,40-60,0.5-1,80-100,25-28,1.5-3,0-25,0-1.5,80-100,8-10,,,,,0-25,1.5-3,80-100,8-10,,,,,,,,,25-50,1.5-3,80-100,6-8,25-50,0-1.5,80-100,8-10
2011-2012,3cba32344644,ALGORITMI E STRUTTURE DATI,25-50,0-20,0-0.5,60-80,25-28,1.5-3,25-50,0-1.5,80-100,8-10,,,,,25-50,0-1.5,80-100,8-10,,,,,,,,,50-100,1.5-3,80-100,8-10,50-100,0-1.5,80-100,8-10
2011-2012,2b1ffcc8eee2,PROGRAMMAZIONE CONCORRENTE,0-25,60-80,1.5-2,60-80,25-28,3-5,0-25,1.5-3,80-100,8-10,,,,,0-25,1.5-3,80-100,6-8,,,,,,,,,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,6-8
2011-2012,c0d54a2cf1f7,MATEMATICA DISCRETA E LOGICA,0-25,60-80,2-2.5,20-40,18-22,3-5,25-50,1.5-3,80-100,8-10,,,,,25-50,0-1.5,80-100,8-10,,,,,,,,,25-50,1.5-3,80-100,6-8,50-100,1.5-3,80-100,6-8
2011-2012,004dadc96b11,METODOLOGIE DI PROGRAMMAZIONE,0-25,60-80,1-1.5,80-100,25-28,3-5,0-25,0-1.5,80-100,8-10,,,,,0-25,0-1.5,80-100,8-10,,,,,,,,,0-25,1.5-3,80-100,6-8,25-50,0-1.5,80-100,8-10
2011-2012,b7322f753612,ALGEBRA LINEARE,0-25,20-40,0-0.5,40-60,22-25,3-5,25-50,0-1.5,80-100,8-10,,,,,25-50,1.5-3,80-100,8-10,,,,,,,,,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,6-8
2011-2012,46a40e083cb3,PROGRAMMAZIONE,25-50,20-40,0.5-1,40-60,22-25,1.5-3,0-25,0-1.5,80-100,8-10,,,,,25-50,1.5-3,80-100,6-8,,,,,,,,,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,6-8
2011-2012,73a131af52a0,ARCHITETTURE DEGLI ELABORATORI,0-25,60-80,1-1.5,40-60,22-25,3-5,0-25,0-1.5,80-100,8-10,,,,,25-50,1.5-3,80-100,6-8,,,,,,,,,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,6-8
2011-2012,d67481237fa7,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,25-50,40-60,0.5-1,60-80,22-25,3-5,25-50,0-1.5,80-100,8-10,,,,,25-50,0-1.5,80-100,8-10,,,,,,,,,25-50,0-1.5,80-100,8-10,25-50,1.5-3,80-100,8-10
2013-2014,02ec81a0c16a,SISTEMI OPERATIVI,25-50,40-60,1-1.5,60-80,25-28,1.5-3,25-50,1.5-3,80-100,6-8,,,,,25-50,1.5-3,80-100,6-8,,,,,,,,,25-50,0-1.5,80-100,6-8,25-50,1.5-3,80-100,6-8
2013-2014,73a131af52a0,ARCHITETTURE DEGLI ELABORATORI,50-100,40-60,1-1.5,40-60,22-25,3-5,25-50,1.5-3,80-100,6-8,,,,,50-100,1.5-3,80-100,6-8,,,,,,,,,50-100,1.5-3,80-100,6-8,50-100,1.5-3,80-100,6-8
2013-2014,fc2f8485971a,CALCOLO NUMERICO,0-25,0-20,0-0.5,60-80,22-25,3-5,0-25,0-1.5,80-100,8-10,,,,,0-25,0-1.5,80-100,8-10,,,,,,,,,0-25,1.5-3,80-100,6-8,25-50,1.5-3,80-100,6-8
2013-2014,3cba32344644,ALGORITMI E STRUTTURE DATI,50-100,0-20,0-0.5,60-80,25-28,3-5,50-100,1.5-3,60-80,6-8,,,,,50-100,0-1.5,80-100,8-10,,,,,,,,,100-200,1.5-3,80-100,8-10,100-200,0-1.5,80-100,8-10
2013-2014,ea586dede443,MATEMATICA DISCRETA E LOGICA,50-100,40-60,1.5-2,40-60,22-25,3-5,50-100,1.5-3,60-80,6-8,,,,,50-100,0-1.5,80-100,8-10,,,,,,,,,50-100,1.5-3,80-100,6-8,50-100,1.5-3,80-100,6-8
2013-2014,074aa5f763ed,BASI DI DATI E SISTEMI INFORMATIVI,25-50,20-40,0-0.5,40-60,22-25,3-5,25-50,1.5-3,80-100,6-8,,,,,25-50,1.5-3,80-100,8-10,,,,,,,,,25-50,1.5-3,80-100,6-8,50-100,1.5-3,80-100,6-8
2013-2014,b3d82fea348c,PROGRAMMAZIONE,50-100,20-40,0-0.5,80-100,25-28,3-5,50-100,1.5-3,60-80,6-8,,,,,50-100,1.5-3,80-100,6-8,,,,,,,,,50-100,1.5-3,80-100,6-8,50-100,1.5-3,80-100,8-10
2013-2014,bfe4b3521c4f,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,50-100,0-20,0-0.5,80-100,25-28,3-5,50-100,1.5-3,80-100,6-8,,,,,50-100,0-1.5,80-100,8-10,,,,,,,,,50-100,1.5-3,80-100,8-10,50-100,1.5-3,80-100,8-10
2013-2014,004dadc96b11,METODOLOGIE DI PROGRAMMAZIONE,25-50,40-60,0.5-1,80-100,25-28,1.5-3,25-50,1.5-3,80-100,6-8,,,,,25-50,1.5-3,80-100,8-10,,,,,,,,,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,8-10
2013-2014,7acf3f684e24,RETI DI CALCOLATORI,0-25,40-60,0.5-1,80-100,25-28,1.5-3,0-25,1.5-3,80-100,6-8,,,,,0-25,0-1.5,80-100,8-10,,,,,,,,,25-50,1.5-3,80-100,8-10,25-50,0-1.5,80-100,8-10
2013-2014,b7322f753612,ALGEBRA LINEARE,25-50,60-80,1-1.5,60-80,22-25,3-5,25-50,1.5-3,80-100,6-8,,,,,25-50,0-1.5,80-100,8-10,,,,,,,,,25-50,1.5-3,60-80,6-8,25-50,1.5-3,60-80,6-8
2013-2014,9000fdc450fb,INFORMATICA TEORICA,0-25,60-80,1-1.5,40-60,22-25,3-5,25-50,0-1.5,80-100,6-8,,,,,25-50,1.5-3,80-100,6-8,,,,,,,,,25-50,1.5-3,80-100,6-8,25-50,1.5-3,60-80,6-8
2013-2014,ebf305b5bf29,PROGRAMMAZIONE CONCORRENTE,25-50,20-40,0-0.5,40-60,22-25,3-5,25-50,1.5-3,80-100,6-8,,,,,25-50,1.5-3,80-100,6-8,,,,,,,,,25-50,1.5-3,80-100,6-8,50-100,1.5-3,80-100,6-8
2010-2011,e2afee673f6c,ALGORITMI E STRUTTURE DATI,25-50,0-20,0-0.5,60-80,25-28,3-5,,,,,25-50,1.5-3,80-100,8-10,25-50,1.5-3,80-100,8-10,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,8-10,,,,
2010-2011,ebf305b5bf29,ARCHITETTURE DEGLI ELABORATORI,0-25,60-80,1.5-2,80-100,25-28,1.5-3,,,,,25-50,1.5-3,80-100,8-10,25-50,1.5-3,60-80,6-8,25-50,1.5-3,60-80,6-8,25-50,1.5-3,80-100,6-8,25-50,1.5-3,60-80,6-8,,,,
2010-2011,7b1f4e0bdb33,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,0-25,20-40,1-1.5,60-80,25-28,3-5,,,,,0-25,1.5-3,80-100,6-8,0-25,0-1.5,80-100,8-10,0-25,1.5-3,60-80,6-8,0-25,1.5-3,80-100,6-8,0-25,1.5-3,60-80,6-8,,,,
2010-2011,44acacef1271,MATEMATICA DISCRETA E LOGICA,0-25,40-60,1-1.5,40-60,22-25,3-5,,,,,0-25,1.5-3,80-100,6-8,25-50,1.5-3,60-80,6-8,25-50,1.5-3,60-80,6-8,25-50,1.5-3,60-80,6-8,25-50,1.5-3,40-60,6-8,,,,
2010-2011,abab2d838ed5,PROGRAMMAZIONE,0-25,20-40,0.5-1,80-100,25-28,1.5-3,,,,,0-25,1.5-3,80-100,8-10,0-25,1.5-3,60-80,6-8,0-25,1.5-3,60-80,6-8,0-25,1.5-3,80-100,6-8,0-25,1.5-3,60-80,6-8,,,,
2012-2013,004dadc96b11,METODOLOGIE DI PROGRAMMAZIONE,0-25,60-80,1.5-2,80-100,22-25,1.5-3,0-25,0-1.5,80-100,8-10,,,,,0-25,1.5-3,80-100,8-10,,,,,,,,,0-25,1.5-3,80-100,6-8,0-25,0-1.5,80-100,8-10
2012-2013,d67481237fa7,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,50-100,20-40,0-0.5,60-80,25-28,3-5,25-50,0-1.5,80-100,8-10,,,,,50-100,0-1.5,80-100,8-10,,,,,,,,,50-100,1.5-3,80-100,6-8,50-100,1.5-3,80-100,6-8
2012-2013,d4b42520842d,ALGEBRA LINEARE,25-50,60-80,1.5-2,20-40,22-25,3-5,0-25,0-1.5,80-100,8-10,,,,,0-25,0-1.5,80-100,8-10,,,,,,,,,0-25,1.5-3,80-100,6-8,0-25,1.5-3,80-100,6-8
2012-2013,9000fdc450fb,INFORMATICA TEORICA,0-25,60-80,1-1.5,80-100,28-31,3-5,0-25,0-1.5,80-100,8-10,,,,,0-25,0-1.5,80-100,8-10,,,,,,,,,0-25,0-1.5,80-100,8-10,0-25,0-1.5,80-100,6-8
2012-2013,fc2f8485971a,CALCOLO NUMERICO,0-25,20-40,0-0.5,60-80,25-28,3-5,0-25,0-1.5,80-100,8-10,,,,,0-25,0-1.5,80-100,8-10,,,,,,,,,0-25,1.5-3,60-80,6-8,0-25,1.5-3,60-80,6-8
2012-2013,46a40e083cb3,PROGRAMMAZIONE,50-100,20-40,0-0.5,60-80,25-28,3-5,25-50,0-1.5,80-100,8-10,,,,,50-100,1.5-3,80-100,8-10,,,,,,,,,50-100,1.5-3,80-100,6-8,50-100,1.5-3,80-100,8-10
2012-2013,074aa5f763ed,BASI DI DATI E SISTEMI INFORMATIVI,0-25,40-60,1-1.5,40-60,22-25,3-5,0-25,0-1.5,80-100,8-10,,,,,0-25,1.5-3,80-100,6-8,,,,,,,,,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,8-10
2012-2013,c0d54a2cf1f7,MATEMATICA DISCRETA E LOGICA,25-50,40-60,1-1.5,40-60,22-25,3-5,25-50,0-1.5,80-100,8-10,,,,,25-50,0-1.5,80-100,8-10,,,,,,,,,50-100,1.5-3,80-100,6-8,50-100,1.5-3,80-100,6-8
2012-2013,7acf3f684e24,RETI DI CALCOLATORI,0-25,20-40,0.5-1,80-100,28-31,1.5-3,0-25,1.5-3,80-100,6-8,,,,,0-25,1.5-3,80-100,6-8,,,,,,,,,0-25,1.5-3,80-100,6-8,0-25,1.5-3,80-100,6-8
2012-2013,3cba32344644,ALGORITMI E STRUTTURE DATI,50-100,0-20,0-0.5,80-100,25-28,3-5,50-100,0-1.5,80-100,8-10,,,,,50-100,0-1.5,80-100,8-10,,,,,,,,,50-100,1.5-3,80-100,8-10,50-100,0-1.5,80-100,8-10
2012-2013,ebf305b5bf29,PROGRAMMAZIONE CONCORRENTE,25-50,60-80,1-1.5,40-60,22-25,3-5,25-50,1.5-3,80-100,6-8,,,,,25-50,1.5-3,80-100,6-8,,,,,,,,,50-100,1.5-3,80-100,6-8,50-100,1.5-3,80-100,6-8
2012-2013,73a131af52a0,ARCHITETTURE DEGLI ELABORATORI,25-50,60-80,1.5-2,60-80,25-28,3-5,0-25,1.5-3,80-100,8-10,,,,,25-50,1.5-3,80-100,8-10,,,,,,,,,25-50,1.5-3,60-80,6-8,50-100,1.5-3,80-100,6-8
2011-2012,d24b5c320402,FISICA GENERALE,0-25,20-40,0-0.5,80-100,28-31,0-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,d24b5c320402,FISICA GENERALE,0-25,60-80,1.5-2,60-80,22-25,3-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,d5ea9d863079,SISTEMI OPERATIVI,0-25,60-80,1-1.5,40-60,22-25,1.5-3,,,,,,,,,0-25,0-1.5,80-100,8-10,,,,,,,,,0-25,0-1.5,80-100,8-10,0-25,0-1.5,80-100,8-10
2012-2013,d24b5c320402,FISICA GENERALE,0-25,60-80,1.5-2,40-60,22-25,1.5-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
