Anno Accademico,Aspetti specifici del Corso di Studi - N [istanze],Aspetti specifici del Corso di Studi - Std Dev [media pesata],Aspetti specifici del Corso di Studi - Val >= 6 [percent],Aspetti specifici del Corso di Studi - Val [media pesata],Aule ed attrezzature - N [istanze],Aule ed attrezzature - Std Dev [media pesata],Aule ed attrezzature - Val >= 6 [percent],Aule ed attrezzature - Val [media pesata],Docente - N [istanze],Docente - Std Dev [media pesata],Docente - Val >= 6 [percent],Docente - Val [media pesata],Hash Docente/i,Informazioni aggiuntive - N [istanze],Informazioni aggiuntive - Std Dev [media pesata],Informazioni aggiuntive - Val >= 6 [percent],Informazioni aggiuntive - Val [media pesata],Insegnamento,Organizzazione Corso di Studi - N [istanze],Organizzazione Corso di Studi - Std Dev [media pesata],Organizzazione Corso di Studi - Val >= 6 [percent],Organizzazione Corso di Studi - Val [media pesata],Organizzazione Insegnamento - N [istanze],Organizzazione Insegnamento - Std Dev [media pesata],Organizzazione Insegnamento - Val >= 6 [percent],Organizzazione Insegnamento - Val [media pesata],Produttivita Studenti - N [istanze],Produttivita Studenti - Ritardo >=1sem [percent],Produttivita Studenti - Ritardo [semestre media],Produttivita Studenti - Voto >= 24 [perc],Produttivita Studenti - Voto [media],Produttivita Studenti - Voto [std dev],Soddisfazione - N [istanze],Soddisfazione - Std Dev [media pesata],Soddisfazione - Val >= 6 [percent],Soddisfazione - Val [media pesata],]
2010-2011,,,,,0-25,1.5-3,60-80,6-8,25-50,1.5-3,80-100,6-8,e24a83c86583,25-50,1.5-3,80-100,6-8,BASI DI DATI E SISTEMI INFORMATIVI,25-50,0-1.5,80-100,6-8,0-25,1.5-3,80-100,6-8,0-25,40-60,,80-100,25-28,2.78,,,,,
2010-2011,,,,,25-50,1.5-3,80-100,8-10,25-50,1.5-3,80-100,8-10,e2afee673f6c,25-50,1.5-3,80-100,6-8,ALGORITMI E STRUTTURE DATI,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,8-10,25-50,0-20,,60-80,25-28,3.5,,,,,
2010-2011,,,,,0-25,1.5-3,80-100,8-10,0-25,1.5-3,80-100,8-10,004dadc96b11,0-25,1.5-3,80-100,8-10,METODOLOGIE DI PROGRAMMAZIONE,0-25,1.5-3,80-100,6-8,0-25,1.5-3,80-100,8-10,0-25,60-80,,80-100,25-28,3.1,,,,,
2010-2011,,,,,25-50,1.5-3,80-100,8-10,25-50,1.5-3,60-80,6-8,ebf305b5bf29,25-50,1.5-3,60-80,6-8,ARCHITETTURE DEGLI ELABORATORI,25-50,1.5-3,80-100,6-8,25-50,1.5-3,60-80,6-8,0-25,60-80,,80-100,25-28,2.57,,,,,
2010-2011,,,,,0-25,1.5-3,80-100,6-8,0-25,1.5-3,80-100,8-10,4f812cbf2546,0-25,1.5-3,80-100,6-8,SISTEMI OPERATIVI,0-25,1.5-3,80-100,6-8,0-25,1.5-3,80-100,6-8,0-25,40-60,,80-100,25-28,2.08,,,,,
2010-2011,,,,,0-25,1.5-3,60-80,6-8,0-25,1.5-3,80-100,8-10,1f95a18256cd,0-25,1.5-3,80-100,6-8,CALCOLO NUMERICO,0-25,1.5-3,80-100,6-8,0-25,1.5-3,60-80,6-8,0-25,20-40,,60-80,25-28,3.24,,,,,
2010-2011,,,,,0-25,1.5-3,80-100,8-10,0-25,1.5-3,60-80,6-8,abab2d838ed5,0-25,1.5-3,60-80,6-8,PROGRAMMAZIONE,0-25,1.5-3,80-100,6-8,0-25,1.5-3,60-80,6-8,0-25,20-40,,80-100,25-28,2.91,,,,,
2010-2011,,,,,0-25,1.5-3,80-100,6-8,25-50,1.5-3,60-80,6-8,44acacef1271,25-50,1.5-3,60-80,6-8,MATEMATICA DISCRETA E LOGICA,25-50,1.5-3,60-80,6-8,25-50,1.5-3,40-60,6-8,0-25,40-60,,40-60,22-25,3.67,,,,,
2010-2011,,,,,25-50,1.5-3,80-100,8-10,25-50,1.5-3,80-100,8-10,73c6aab4e2e2,25-50,1.5-3,80-100,6-8,PROGRAMMAZIONE CONCORRENTE,25-50,1.5-3,80-100,6-8,25-50,1.5-3,80-100,6-8,0-25,60-80,,60-80,25-28,4.25,,,,,
2010-2011,,,,,0-25,1.5-3,80-100,6-8,0-25,0-1.5,80-100,8-10,7b1f4e0bdb33,0-25,1.5-3,60-80,6-8,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,0-25,1.5-3,80-100,6-8,0-25,1.5-3,60-80,6-8,0-25,60-80,,60-80,25-28,4.07,,,,,
2011-2012,0-25,1.5-3,80-100,8-10,,,,,0-25,1.5-3,80-100,6-8,fc2f8485971a,,,,,CALCOLO NUMERICO,,,,,0-25,1.5-3,80-100,6-8,0-25,0-20,,60-80,22-25,3.04,0-25,1.5-3,80-100,6-8,
2011-2012,25-50,0-1.5,80-100,8-10,,,,,25-50,0-1.5,80-100,8-10,9000fdc450fb,,,,,INFORMATICA TEORICA,,,,,25-50,1.5-3,80-100,8-10,0-25,60-80,,40-60,22-25,3.8,25-50,0-1.5,80-100,8-10,
2011-2012,0-25,0-1.5,80-100,8-10,,,,,0-25,0-1.5,80-100,8-10,004dadc96b11,,,,,METODOLOGIE DI PROGRAMMAZIONE,,,,,0-25,1.5-3,80-100,6-8,0-25,60-80,,80-100,22-25,2.09,25-50,0-1.5,80-100,8-10,
2011-2012,0-25,1.5-3,80-100,8-10,,,,,0-25,1.5-3,80-100,6-8,2b1ffcc8eee2,,,,,PROGRAMMAZIONE CONCORRENTE,,,,,25-50,1.5-3,80-100,6-8,0-25,60-80,,40-60,22-25,3.54,25-50,1.5-3,80-100,6-8,
2011-2012,25-50,1.5-3,80-100,8-10,,,,,25-50,0-1.5,80-100,8-10,c0d54a2cf1f7,,,,,MATEMATICA DISCRETA E LOGICA,,,,,25-50,1.5-3,80-100,6-8,0-25,60-80,,20-40,18-22,3.29,50-100,1.5-3,80-100,6-8,
2011-2012,25-50,0-1.5,80-100,8-10,,,,,25-50,0-1.5,80-100,8-10,3cba32344644,,,,,ALGORITMI E STRUTTURE DATI,,,,,50-100,1.5-3,80-100,8-10,25-50,0-20,,80-100,25-28,2.49,50-100,0-1.5,80-100,8-10,
2011-2012,0-25,0-1.5,80-100,8-10,,,,,0-25,1.5-3,80-100,8-10,d5ea9d863079,,,,,SISTEMI OPERATIVI,,,,,25-50,1.5-3,80-100,6-8,0-25,60-80,,40-60,22-25,2.31,25-50,0-1.5,80-100,8-10,
2012-2013,0-25,0-1.5,80-100,8-10,,,,,0-25,0-1.5,80-100,8-10,9000fdc450fb,,,,,INFORMATICA TEORICA,,,,,0-25,0-1.5,80-100,8-10,0-25,80-100,,40-60,22-25,3.81,0-25,0-1.5,80-100,6-8,
2012-2013,0-25,0-1.5,80-100,8-10,,,,,0-25,0-1.5,80-100,8-10,d4b42520842d,,,,,ALGEBRA LINEARE,,,,,0-25,1.5-3,80-100,6-8,25-50,60-80,,60-80,22-25,3.79,0-25,1.5-3,80-100,6-8,
2012-2013,25-50,1.5-3,80-100,6-8,,,,,25-50,1.5-3,80-100,6-8,ebf305b5bf29,,,,,PROGRAMMAZIONE CONCORRENTE,,,,,50-100,1.5-3,80-100,6-8,25-50,20-40,,40-60,22-25,3.79,50-100,1.5-3,80-100,6-8,
2012-2013,0-25,0-1.5,80-100,8-10,,,,,0-25,0-1.5,80-100,8-10,fc2f8485971a,,,,,CALCOLO NUMERICO,,,,,0-25,1.5-3,60-80,6-8,0-25,0-20,,60-80,22-25,2.99,0-25,1.5-3,60-80,6-8,
2012-2013,25-50,0-1.5,80-100,8-10,,,,,50-100,1.5-3,80-100,8-10,46a40e083cb3,,,,,PROGRAMMAZIONE,,,,,50-100,1.5-3,80-100,6-8,50-100,20-40,,60-80,25-28,4.02,50-100,1.5-3,80-100,8-10,
2012-2013,50-100,0-1.5,80-100,8-10,,,,,50-100,0-1.5,80-100,8-10,3cba32344644,,,,,ALGORITMI E STRUTTURE DATI,,,,,50-100,1.5-3,80-100,8-10,50-100,0-20,,80-100,25-28,3.59,50-100,0-1.5,80-100,8-10,
2012-2013,0-25,1.5-3,80-100,6-8,,,,,0-25,1.5-3,80-100,6-8,7acf3f684e24,,,,,RETI DI CALCOLATORI,,,,,0-25,1.5-3,80-100,6-8,25-50,20-40,,80-100,25-28,2.58,0-25,1.5-3,80-100,6-8,
2012-2013,0-25,1.5-3,80-100,8-10,,,,,25-50,1.5-3,80-100,8-10,73a131af52a0,,,,,ARCHITETTURE DEGLI ELABORATORI,,,,,25-50,1.5-3,60-80,6-8,25-50,60-80,,60-80,25-28,3.77,50-100,1.5-3,80-100,6-8,
2012-2013,0-25,0-1.5,80-100,8-10,,,,,0-25,1.5-3,80-100,6-8,074aa5f763ed,,,,,BASI DI DATI E SISTEMI INFORMATIVI,,,,,25-50,1.5-3,80-100,6-8,25-50,20-40,,40-60,22-25,3.1,25-50,1.5-3,80-100,8-10,
2012-2013,25-50,0-1.5,80-100,8-10,,,,,25-50,0-1.5,80-100,8-10,c0d54a2cf1f7,,,,,MATEMATICA DISCRETA E LOGICA,,,,,50-100,1.5-3,80-100,6-8,25-50,40-60,,40-60,22-25,3.51,50-100,1.5-3,80-100,6-8,
2012-2013,0-25,0-1.5,80-100,8-10,,,,,0-25,1.5-3,80-100,8-10,004dadc96b11,,,,,METODOLOGIE DI PROGRAMMAZIONE,,,,,0-25,1.5-3,80-100,6-8,25-50,20-40,,80-100,25-28,2.56,0-25,0-1.5,80-100,8-10,
2013-2014,25-50,1.5-3,80-100,6-8,,,,,25-50,1.5-3,80-100,6-8,ebf305b5bf29,,,,,PROGRAMMAZIONE CONCORRENTE,,,,,25-50,1.5-3,80-100,6-8,25-50,40-60,,60-80,25-28,3.84,50-100,1.5-3,80-100,6-8,
2013-2014,50-100,1.5-3,80-100,6-8,,,,,50-100,0-1.5,80-100,8-10,bfe4b3521c4f,,,,,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,,,,,50-100,1.5-3,80-100,8-10,50-100,80-100,,80-100,28-31,2.76,50-100,1.5-3,80-100,8-10,
2013-2014,0-25,1.5-3,80-100,6-8,,,,,25-50,0-1.5,80-100,8-10,7acf3f684e24,,,,,RETI DI CALCOLATORI,,,,,25-50,1.5-3,80-100,8-10,25-50,40-60,,80-100,25-28,2.8,25-50,0-1.5,80-100,8-10,
2013-2014,25-50,0-1.5,80-100,6-8,,,,,25-50,1.5-3,80-100,6-8,9000fdc450fb,,,,,INFORMATICA TEORICA,,,,,25-50,1.5-3,80-100,6-8,0-25,20-40,,20-40,22-25,3.27,25-50,1.5-3,60-80,6-8,
2013-2014,25-50,1.5-3,80-100,6-8,,,,,25-50,1.5-3,80-100,8-10,004dadc96b11,,,,,METODOLOGIE DI PROGRAMMAZIONE,,,,,25-50,1.5-3,80-100,6-8,50-100,40-60,,80-100,25-28,2.82,25-50,1.5-3,80-100,8-10,
2013-2014,25-50,1.5-3,80-100,6-8,,,,,25-50,1.5-3,80-100,8-10,074aa5f763ed,,,,,BASI DI DATI E SISTEMI INFORMATIVI,,,,,25-50,1.5-3,80-100,6-8,50-100,20-40,,40-60,22-25,3.71,50-100,1.5-3,80-100,6-8,
2013-2014,25-50,1.5-3,80-100,6-8,,,,,50-100,1.5-3,80-100,6-8,73a131af52a0,,,,,ARCHITETTURE DEGLI ELABORATORI,,,,,50-100,1.5-3,80-100,6-8,50-100,40-60,,40-60,22-25,4.03,50-100,1.5-3,80-100,6-8,
2013-2014,0-25,0-1.5,80-100,8-10,,,,,0-25,0-1.5,80-100,8-10,fc2f8485971a,,,,,CALCOLO NUMERICO,,,,,25-50,1.5-3,80-100,6-8,25-50,0-20,,40-60,22-25,3.92,25-50,1.5-3,80-100,6-8,
2013-2014,50-100,1.5-3,60-80,6-8,,,,,50-100,0-1.5,80-100,8-10,3cba32344644,,,,,ALGORITMI E STRUTTURE DATI,,,,,100-200,1.5-3,80-100,8-10,50-100,0-20,,60-80,25-28,3.3,100-200,0-1.5,80-100,8-10,
2013-2014,25-50,1.5-3,80-100,6-8,,,,,25-50,1.5-3,80-100,6-8,02ec81a0c16a,,,,,SISTEMI OPERATIVI,,,,,25-50,0-1.5,80-100,6-8,25-50,40-60,,60-80,25-28,2.76,25-50,1.5-3,80-100,6-8,
2013-2014,50-100,1.5-3,60-80,6-8,,,,,50-100,0-1.5,80-100,8-10,ea586dede443,,,,,MATEMATICA DISCRETA E LOGICA,,,,,50-100,1.5-3,80-100,6-8,50-100,40-60,,40-60,22-25,3.57,50-100,1.5-3,80-100,6-8,
2010-2011,,,,,,,,,,,,,d84e35d81119,,,,,RETI DI CALCOLATORI,,,,,,,,,0-25,20-40,,80-100,28-31,1.8,,,,,
2010-2011,,,,,,,,,0-25,0-1.5,80-100,8-10,9000fdc450fb,0-25,1.5-3,80-100,6-8,INFORMATICA TEORICA,0-25,1.5-3,80-100,8-10,0-25,0-1.5,80-100,8-10,0-25,60-80,,80-100,28-31,3.34,,,,,
2010-2011,,,,,,,,,0-25,1.5-3,80-100,8-10,1e7e0a974aa6,0-25,0-1.5,80-100,6-8,ALGEBRA LINEARE,0-25,0-1.5,80-100,8-10,0-25,0-1.5,80-100,8-10,0-25,20-40,,40-60,22-25,4.71,,,,,
2010-2011,,,,,,,,,0-25,1.5-3,80-100,8-10,301787671164,0-25,1.5-3,80-100,8-10,FISICA GENERALE,0-25,0-1.5,80-100,8-10,0-25,1.5-3,80-100,8-10,0-25,20-40,,80-100,28-31,0.47,,,,,
2011-2012,,,,,,,,,,,,,46a40e083cb3,,,,,PROGRAMMAZIONE,,,,,,,,,25-50,20-40,,40-60,22-25,2.68,,,,,
2011-2012,,,,,,,,,,,,,074aa5f763ed,,,,,BASI DI DATI E SISTEMI INFORMATIVI,,,,,,,,,0-25,40-60,,40-60,22-25,3.04,,,,,
2011-2012,OUT_OF_RANGE,0-1.5,80-100,8-10,,,,,,,,,7acf3f684e24,,,,,RETI DI CALCOLATORI,,,,,OUT_OF_RANGE,0-1.5,80-100,8-10,0-25,40-60,,80-100,25-28,2.16,,,,,
2011-2012,,,,,,,,,,,,,b7322f753612,,,,,ALGEBRA LINEARE,,,,,,,,,0-25,60-80,,20-40,22-25,3.24,,,,,
2011-2012,,,,,,,,,,,,,d08ed5588630,,,,,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,,,,,,,,,25-50,80-100,,60-80,25-28,3.17,,,,,
2011-2012,,,,,,,,,25-50,1.5-3,80-100,6-8,73a131af52a0,,,,,ARCHITETTURE DEGLI ELABORATORI,,,,,25-50,1.5-3,80-100,6-8,0-25,40-60,,40-60,22-25,3.04,25-50,1.5-3,80-100,6-8,
2011-2012,,,,,,,,,,,,,d24b5c320402,,,,,FISICA GENERALE,,,,,,,,,0-25,60-80,,40-60,22-25,2.56,,,,,
2012-2013,,,,,,,,,,,,,d24b5c320402,,,,,FISICA GENERALE,,,,,,,,,0-25,60-80,,60-80,22-25,3.25,,,,,
2012-2013,,,,,,,,,OUT_OF_RANGE,0-1.5,80-100,8-10,d5ea9d863079,,,,,SISTEMI OPERATIVI,,,,,0-25,0-1.5,80-100,8-10,25-50,40-60,,60-80,25-28,2.37,0-25,0-1.5,80-100,8-10,
2012-2013,,,,,,,,,,,,,bfe4b3521c4f,,,,,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,,,,,,,,,25-50,80-100,,60-80,25-28,3.56,,,,,
2013-2014,,,,,,,,,,,,,b3d82fea348c,,,,,PROGRAMMAZIONE,,,,,,,,,50-100,20-40,,60-80,25-28,3.17,,,,,
2013-2014,,,,,,,,,,,,,d24b5c320402,,,,,FISICA GENERALE,,,,,,,,,0-25,60-80,,40-60,22-25,3.89,,,,,
2013-2014,,,,,,,,,,,,,b7322f753612,,,,,ALGEBRA LINEARE,,,,,,,,,50-100,20-40,,40-60,22-25,4.06,,,,,
